CUST_FULL_NAME,OUTLET_NUMBER,TERMINAL_ID,TRANSACTION_AMOUNT,CARD_NUMBER,TRANSACTION_DATE
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,453188XXXXXXX7710,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,160,438375XXXXXXX7620,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,300,426091XXXXXXX8923,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,426608XXXXXXX4119,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,300,419398XXXXXXX8619,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,80,453188XXXXXXX2158,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,400,426092XXXXXXX2991,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,300,426091XXXXXXX4756,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,150,418394XXXXXXX8002,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,426091XXXXXXX7638,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,486759XXXXXXX8554,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,300,426091XXXXXXX3897,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,150,426374XXXXXXX1556,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,150,464144XXXXXXX2083,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,426091XXXXXXX8403,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,180,419398XXXXXXX1795,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,300,426092XXXXXXX0515,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,300,438375XXXXXXX7725,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,250,426093XXXXXXX3540,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,438375XXXXXXX5199,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,300,419398XXXXXXX2016,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,500,426093XXXXXXX1958,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,500,426094XXXXXXX0785,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,300,406935XXXXXXX6638,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,438375XXXXXXX3571,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,681.56,426094XXXXXXX7620,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,905.84,453190XXXXXXX8451,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,453188XXXXXXX0901,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,419398XXXXXXX9713,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,400,426091XXXXXXX3830,15/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,700,464144XXXXXXX4567,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,500,453191XXXXXXX6875,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,486759XXXXXXX1109,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,444577XXXXXXX7862,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,426091XXXXXXX8840,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,438375XXXXXXX3415,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,500,464144XXXXXXX7442,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,300,414521XXXXXXX4013,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,250,453190XXXXXXX5070,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,130,419398XXXXXXX4995,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,50,453188XXXXXXX7945,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,300,426093XXXXXXX1727,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,438375XXXXXXX2864,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,500,438375XXXXXXX6167,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,453190XXXXXXX3292,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,414521XXXXXXX3155,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,50,426374XXXXXXX6357,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,195.4,464144XXXXXXX4567,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,"1,103.30",453190XXXXXXX1466,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,433099XXXXXXX4416,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,300,419398XXXXXXX5633,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,453188XXXXXXX6659,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,70,536898XXXXXXX7423,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,500,453191XXXXXXX5190,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,426092XXXXXXX5656,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,453188XXXXXXX5498,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,736.02,476817XXXXXXX1840,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,426091XXXXXXX9260,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,426093XXXXXXX3818,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,400,459260XXXXXXX7385,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,300,426091XXXXXXX3552,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,426093XXXXXXX1894,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,200,406935XXXXXXX1618,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,400,419398XXXXXXX8329,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,537475XXXXXXX4446,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,735.15,426094XXXXXXX9898,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,426090XXXXXXX7590,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,500,406935XXXXXXX1600,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,461722XXXXXXX2492,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,496043XXXXXXX0196,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,300,426094XXXXXXX7064,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,50,438375XXXXXXX3422,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,200,426091XXXXXXX1106,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137362,10033963,100,406934XXXXXXX7000,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,100,426091XXXXXXX8403,16/09/2021
*MOUNT MERU PETROLEUM ZAMBIA LIMITED,100000001137420,10033965,180,453190XXXXXXX4231,16/09/2021
